id_control,fecha_control,dependencia,region,controles_realizados,anomalías_detectadas,personal_asistentes,legajo,dni,apellido,nombre,fecha_nacimiento,edad,jerarquia,fecha_ingreso,antiguedad_anios,estado_funcionario,telefono,observacion_funcionario,tipo_arma,marca_arma,nro_arma,estado_arma,observacion_arma,fecha_asignacion_arma,fecha_devolucion_arma
248,2025-09-28,Departamental Nº 12 Quimilí,Quimilí,7.0,1.0,9.0,LEG0248,41531170,Gómez,José,1996-04-15,29.0,Sargento,2013-07-02,12.0,Activo,3855-XXXXXX,Próximo a retiro,Pistola,Remington,ARM-00248,En mantenimiento,,2025-02-07,2025-10-14
249,2024-12-18,Departamental Nº 4 Zona Oeste (La Banda),La Banda,3.0,2.0,2.0,LEG0249,21717355,Romero,Juan,1966-11-15,58.0,Agente,2022-10-26,3.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Glock,ARM-00249,Operativa,,2024-03-12,
250,2025-09-10,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,7.0,0.0,,LEG0250,22763779,Romero,Luis,1998-02-05,27.0,Sargento Principal,2020-09-10,5.0,Activo,3855-XXXXXX,,Pistola,Glock,ARM-00250,Fuera de servicio,Requiere revisión anual,2025-01-05,
251,2025-02-08,Departamental Nº 4 Zona Oeste (La Banda),La Banda,2.0,0.0,9.0,LEG0251,24784973,García,Juan,1964-12-20,60.0,Agente,2012-03-24,14.0,Activo,,,Pistola,Remington,ARM-00251,Operativa,,2024-04-27,
252,2025-10-03,Departamental Nº 15 Ojo de Agua,Ojo de Agua,6.0,0.0,8.0,LEG0252,44776015,López,Carlos,1994-11-14,30.0,Agente,2020-11-01,5.0,Activo,3854-XXXXXX,En licencia médica,Escopeta,Glock,ARM-00252,Operativa,,2025-05-10,
253,2025-08-11,Departamental Nº 13 Añatuya,Añatuya,4.0,0.0,9.0,LEG0253,28377900,García,Luis,1993-04-17,32.0,Agente,2014-04-24,12.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,Bersa,ARM-00253,En mantenimiento,,2024-12-11,
254,2025-09-06,Departamental Nº 4 Zona Oeste (La Banda),La Banda,4.0,2.0,3.0,LEG0254,22593449,Gómez,Luis,1973-12-22,51.0,Agente,2017-05-21,8.0,Activo,3855-XXXXXX,,Escopeta,Remington,ARM-00254,Operativa,,2025-03-05,
255,2025-07-25,Departamental Nº 5 Zona Este (La Banda),La Banda,5.0,1.0,5.0,LEG0255,23440863,Romero,Carlos,1967-03-28,58.0,Suboficial Mayor,2019-12-16,6.0,Activo,,,Pistola,Remington,ARM-00255,Operativa,,2024-12-29,
256,2025-10-14,Departamental Nº 1 Zona Norte (Capital),Capital,4.0,0.0,4.0,LEG0256,38573434,Pérez,Carlos,1994-07-14,31.0,Sargento,2022-02-20,4.0,Activo,,,Pistola,IWI,ARM-00256,Operativa,,2025-08-03,
257,2025-08-17,Departamental Nº 9 Loreto,Loreto,6.0,2.0,1.0,LEG0257,38132313,García,Lucía,2002-03-27,23.0,Cabo,2018-05-11,7.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,IWI,ARM-00257,Fuera de servicio,Desgaste en cañón,2024-11-04,2025-10-28
258,2024-12-18,Departamental Nº 11 Monte Quemado,Monte Quemado,4.0,2.0,8.0,LEG0258,41445439,García,José,1997-07-27,28.0,Agente,2022-12-08,3.0,Activo,,Próximo a retiro,Escopeta,Glock,ARM-00258,Operativa,,2024-03-16,
259,2025-02-02,Departamental Nº 15 Ojo de Agua,Ojo de Agua,8.0,1.0,6.0,LEG0259,29879032,Díaz,Pedro,1974-10-24,51.0,Sargento Primero,2022-03-27,4.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00259,Operativa,,2024-03-05,
260,2025-06-12,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,2.0,1.0,5.0,LEG0260,38957235,Díaz,María,1978-06-30,47.0,Cabo,2019-07-30,6.0,Activo,3854-XXXXXX,,Escopeta,IWI,ARM-00260,En mantenimiento,,2025-03-22,
261,2025-01-05,Departamental Nº 4 Zona Oeste (La Banda),La Banda,5.0,1.0,3.0,LEG0261,23317657,Pérez,Sofía,1994-03-31,31.0,Agente,2015-01-11,11.0,Activo,3855-XXXXXX,,Escopeta,IWI,ARM-00261,En mantenimiento,,2024-04-08,2025-04-13
262,2025-07-02,Departamental Nº 4 Zona Oeste (La Banda),La Banda,5.0,1.0,7.0,LEG0262,42294041,Pérez,José,2002-04-10,23.0,Oficial Principal,2015-09-28,,Activo,3855-XXXXXX,En licencia médica,Escopeta,Remington,ARM-00262,Operativa,,2025-01-22,
263,2025-04-20,Departamental Nº 8 Fernández,Fernández,4.0,1.0,5.0,LEG0263,28033651,Rodríguez,José,1983-04-03,42.0,Sargento,2011-09-11,14.0,Activo,,,Pistola,Remington,ARM-00263,Operativa,,2024-10-04,
264,2025-09-08,Departamental Nº 7 Frías,Frías,3.0,0.0,1.0,LEG0264,30387693,Pérez,Carlos,1968-11-06,57.0,Agente,2021-09-11,4.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Glock,ARM-00264,Operativa,,2025-08-08,
265,2025-09-26,Departamental Nº 7 Frías,Frías,3.0,1.0,1.0,LEG0265,33127304,Pérez,Juan,2000-01-04,25.0,Cabo Primero,2010-12-28,15.0,Inactivo,,,Escopeta,IWI,ARM-00265,Operativa,,2025-07-30,
266,2025-05-21,Departamental Nº 15 Ojo de Agua,Ojo de Agua,4.0,1.0,3.0,LEG0266,23472696,García,Laura,1966-11-12,58.0,Cabo Primero,2014-04-05,12.0,Activo,,Próximo a retiro,Escopeta,Bersa,ARM-00266,Fuera de servicio,,2024-06-26,
267,2025-03-05,Departamental Nº 16 Los Flores (Capital),Capital,5.0,0.0,2.0,LEG0267,30634380,Martínez,Carlos,2002-08-24,23.0,Oficial Ayudante,2014-04-10,12.0,Activo,,,Escopeta,IWI,ARM-00267,Fuera de servicio,,2024-04-13,
268,2024-11-26,Departamental Nº 14 Pinto,Pinto,4.0,1.0,7.0,LEG0268,37338764,López,Lucía,1999-09-07,26.0,Sargento Ayudante,2020-09-11,5.0,Inactivo,,,Escopeta,Bersa,ARM-00268,En mantenimiento,Requiere revisión anual,2024-04-23,
269,2024-10-31,Departamental Nº 2 Zona Centro (Capital),Capital,2.0,0.0,6.0,LEG0269,27131390,Sánchez,Ana,1975-07-16,50.0,Agente,2011-05-06,14.0,Inactivo,,,Pistola,IWI,ARM-00269,Operativa,Desgaste en cañón,2024-01-15,
270,2025-09-29,Departamental Nº 11 Monte Quemado,Monte Quemado,2.0,1.0,9.0,LEG0270,44453647,Martínez,Luis,1972-03-23,53.0,Sargento Primero,2011-01-02,15.0,Activo,,,Pistola,Glock,ARM-00270,En mantenimiento,Desgaste en cañón,2025-01-23,2027-03-22
271,2025-05-17,Departamental Nº 11 Monte Quemado,Monte Quemado,6.0,1.0,6.0,LEG0271,44986277,Romero,Sofía,2003-06-19,22.0,Sargento Primero,2017-02-18,9.0,Activo,3854-XXXXXX,,Fusil,Glock,ARM-00271,Operativa,,2024-08-14,
272,2025-06-07,Departamental Nº 3 Zona Sur (Capital),Capital,6.0,0.0,9.0,LEG0272,26724504,Gómez,Carlos,1990-09-12,35.0,Oficial Principal,2012-06-16,13.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Remington,ARM-00272,Operativa,,2025-01-09,
273,2025-03-29,Departamental Nº 7 Frías,Frías,6.0,1.0,9.0,LEG0273,22784975,Sánchez,Carlos,2003-01-11,22.0,Sargento,2013-04-11,13.0,Inactivo,,,Pistola,Glock,ARM-00273,Fuera de servicio,Desgaste en cañón,2025-01-30,2027-02-23
274,2024-11-29,Departamental Nº 1 Zona Norte (Capital),Capital,3.0,1.0,3.0,LEG0274,34673090,Romero,Pedro,1965-01-31,60.0,Agente,2014-04-14,12.0,Activo,3854-XXXXXX,,Escopeta,Bersa,ARM-00274,En mantenimiento,Requiere revisión anual,2024-01-11,
275,2025-04-10,Departamental Nº 7 Frías,Frías,8.0,2.0,5.0,LEG0275,33767748,López,Juan,1996-08-08,29.0,Cabo,2021-12-11,4.0,Inactivo,,,Pistola,IWI,ARM-00275,Operativa,,2024-09-19,
276,2025-07-12,Departamental Nº 11 Monte Quemado,Monte Quemado,4.0,1.0,6.0,LEG0276,23932613,Díaz,Pedro,1985-10-10,40.0,Oficial Ayudante,2019-06-20,6.0,Activo,,,Escopeta,Glock,ARM-00276,Operativa,,2025-04-26,
277,2024-10-31,Departamental Nº 13 Añatuya,Añatuya,1.0,1.0,4.0,LEG0277,22796647,García,Juan,1974-08-30,51.0,Agente,2019-09-14,6.0,Activo,3854-XXXXXX,Próximo a retiro,Fusil,Remington,ARM-00277,Operativa,Desgaste en cañón,2023-11-05,
278,2024-12-26,Departamental Nº 12 Quimilí,Quimilí,3.0,1.0,2.0,LEG0278,23120452,García,Pedro,1990-01-15,35.0,Oficial Ayudante,2021-03-04,5.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Remington,ARM-00278,Operativa,,2024-11-23,
279,2025-09-26,Departamental Nº 7 Frías,Frías,4.0,1.0,4.0,LEG0279,31483581,Pérez,Luis,1975-02-05,50.0,Sargento,2016-11-18,9.0,Activo,,,Fusil,Remington,ARM-00279,Operativa,,2025-08-11,
280,2025-04-12,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,4.0,0.0,7.0,LEG0280,40776359,López,Juan,1989-03-21,36.0,Sargento Ayudante,2015-08-26,10.0,Activo,,Próximo a retiro,Pistola,Bersa,ARM-00280,Operativa,,2024-05-21,
281,2024-12-12,Departamental Nº 6 Las Termas,Las Termas,6.0,2.0,6.0,LEG0281,36894585,Sánchez,Lucía,1998-01-03,27.0,Agente,2012-02-06,14.0,Activo,3854-XXXXXX,Próximo a retiro,Fusil,Bersa,ARM-00281,Operativa,Desgaste en cañón,2024-10-20,
282,2024-11-21,Departamental Nº 14 Pinto,Pinto,6.0,0.0,3.0,LEG0282,43506415,Martínez,Laura,1994-01-19,31.0,Suboficial Mayor,2022-05-26,3.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Glock,ARM-00282,Operativa,,2024-07-14,
283,2025-01-27,Departamental Nº 4 Zona Oeste (La Banda),La Banda,6.0,2.0,5.0,LEG0283,32884085,Romero,Carlos,1987-09-15,38.0,Comisario Inspector,2020-11-25,5.0,Activo,3855-XXXXXX,,Escopeta,Bersa,ARM-00283,En mantenimiento,Requiere revisión anual,2024-10-12,
284,2025-10-10,Departamental Nº 3 Zona Sur (Capital),Capital,3.0,1.0,5.0,LEG0284,24973064,Díaz,Carlos,2000-12-01,24.0,Sargento Primero,2015-06-15,10.0,Activo,3854-XXXXXX,,Pistola,Glock,ARM-00284,Operativa,,2025-01-11,
285,2025-07-17,Departamental Nº 12 Quimilí,Quimilí,4.0,2.0,1.0,LEG0285,41490513,Sánchez,José,1972-12-16,52.0,Agente,2019-02-16,7.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Glock,ARM-00285,En mantenimiento,,2024-11-27,
286,2024-10-27,Departamental Nº 12 Quimilí,Quimilí,1.0,2.0,6.0,LEG0286,25476049,Gómez,Sofía,1970-07-15,55.0,Sargento Principal,2020-08-03,5.0,Inactivo,,,Escopeta,Glock,ARM-00286,Operativa,,2024-06-20,
287,2025-05-03,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,4.0,0.0,5.0,LEG0287,34468459,Díaz,Luis,1967-06-30,58.0,Sargento,2015-06-25,10.0,Activo,3855-XXXXXX,En licencia médica,Escopeta,IWI,ARM-00287,Operativa,,2024-07-28,
288,2025-02-04,Departamental Nº 7 Frías,Frías,6.0,2.0,4.0,LEG0288,29029750,Sánchez,Lucía,1991-07-18,34.0,Cabo Primero,2018-07-08,7.0,Activo,3855-XXXXXX,Próximo a retiro,Fusil,Remington,ARM-00288,Operativa,,2024-06-07,
289,2025-10-03,Departamental Nº 3 Zona Sur (Capital),Capital,3.0,2.0,8.0,LEG0289,21551726,Gómez,Juan,1976-03-29,49.0,Oficial Sub-Inspector,2019-02-12,7.0,Inactivo,,,Pistola,Remington,ARM-00289,En mantenimiento,Desgaste en cañón,2024-09-16,
290,2025-05-23,Departamental Nº 1 Zona Norte (Capital),Capital,7.0,1.0,7.0,LEG0290,32994289,Díaz,Carlos,1989-12-28,35.0,Cabo,2020-01-16,6.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00290,Operativa,,2024-07-20,
291,2025-09-17,Departamental Nº 8 Fernández,Fernández,6.0,1.0,9.0,LEG0291,28865465,Rodríguez,José,1972-07-17,53.0,Agente,2021-02-12,5.0,Activo,,,Pistola,Glock,ARM-00291,Operativa,,2025-06-15,
292,2025-04-13,Departamental Nº 11 Monte Quemado,Monte Quemado,2.0,1.0,6.0,LEG0292,24024537,Martínez,Sofía,1969-09-30,56.0,Agente,2015-10-02,10.0,Activo,,,Escopeta,IWI,ARM-00292,En mantenimiento,Desgaste en cañón,2024-06-20,2025-03-26
293,2025-08-06,Departamental Nº 7 Frías,Frías,4.0,1.0,7.0,LEG0293,29396313,Sánchez,Pedro,1965-11-12,59.0,Cabo Primero,2017-03-06,9.0,Inactivo,,,Fusil,Glock,ARM-00293,Operativa,,2024-09-19,
294,2025-07-03,Departamental Nº 12 Quimilí,Quimilí,6.0,1.0,9.0,LEG0294,30553060,Romero,María,1992-08-09,33.0,Sargento Primero,2017-04-22,9.0,Activo,,En licencia médica,Escopeta,Remington,ARM-00294,Operativa,,2025-02-25,
295,2025-05-11,Departamental Nº 5 Zona Este (La Banda),La Banda,6.0,1.0,8.0,LEG0295,28181311,Gómez,Laura,1981-11-08,43.0,Sub-Comisario,2023-08-17,2.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00295,Operativa,,2024-10-13,
296,2025-08-07,Departamental Nº 9 Loreto,Loreto,7.0,0.0,8.0,LEG0296,25256583,Díaz,Lucía,2000-04-04,25.0,Agente,2020-03-16,6.0,Activo,3854-XXXXXX,Próximo a retiro,Escopeta,IWI,ARM-00296,Operativa,Requiere revisión anual,2025-03-10,
297,2025-06-10,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,3.0,1.0,3.0,LEG0297,20563889,Gómez,María,1991-09-25,34.0,Sargento,2013-08-09,12.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,IWI,ARM-00297,Fuera de servicio,Requiere revisión anual,2025-04-08,2025-11-06
298,2025-06-29,Departamental Nº 9 Loreto,Loreto,10.0,0.0,1.0,LEG0298,24003487,Romero,María,1969-05-01,56.0,Oficial Ayudante,2015-06-30,10.0,Activo,3855-XXXXXX,,Pistola,Remington,ARM-00298,Operativa,Requiere revisión anual,2024-06-08,
299,2024-12-06,Departamental Nº 2 Zona Centro (Capital),Capital,4.0,1.0,7.0,LEG0299,32284742,Martínez,Juan,1993-03-10,32.0,Cabo,2018-10-15,7.0,Activo,3855-XXXXXX,,Fusil,IWI,ARM-00299,Operativa,,2024-07-03,
300,2025-01-18,Departamental Nº 11 Monte Quemado,Monte Quemado,3.0,0.0,3.0,LEG0300,27562635,Gómez,Luis,1967-11-30,57.0,Agente,2013-01-08,13.0,Inactivo,,,Fusil,IWI,ARM-00300,En mantenimiento,Desgaste en cañón,2024-11-19,
301,2024-11-28,Departamental Nº 13 Añatuya,Añatuya,4.0,2.0,6.0,LEG0301,33716989,Sánchez,María,1997-08-16,28.0,Agente,2019-03-23,7.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Glock,ARM-00301,Operativa,,2023-12-09,
302,2024-12-03,Departamental Nº 1 Zona Norte (Capital),Capital,,0.0,5.0,LEG0302,30559464,Pérez,Luis,1985-09-13,40.0,Agente,2016-11-18,9.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00302,Operativa,,2024-06-12,
303,2025-05-14,Departamental Nº 6 Las Termas,Las Termas,5.0,0.0,4.0,LEG0303,35799439,Sánchez,Laura,1988-06-07,37.0,Cabo,2012-12-05,13.0,Inactivo,,,Escopeta,Remington,ARM-00303,Operativa,,2024-07-14,
304,2025-09-09,Departamental Nº 1 Zona Norte (Capital),Capital,,2.0,8.0,LEG0304,32184894,Pérez,Carlos,2002-03-06,23.0,Agente,2022-12-06,3.0,Activo,,En licencia médica,Pistola,Remington,ARM-00304,Operativa,,2024-10-19,
305,2025-06-26,Departamental Nº 2 Zona Centro (Capital),Capital,4.0,2.0,9.0,LEG0305,21223045,Gómez,María,1968-06-27,57.0,Sargento Ayudante,2022-02-03,4.0,Activo,3855-XXXXXX,,Pistola,Glock,ARM-00305,Operativa,,2025-04-07,
306,2025-04-15,Departamental Nº 12 Quimilí,Quimilí,4.0,1.0,4.0,LEG0306,30956200,Romero,Sofía,1974-01-22,51.0,Cabo,2018-10-23,7.0,Inactivo,,,Escopeta,IWI,ARM-00306,Operativa,,2024-06-24,
307,2024-12-06,Departamental Nº 8 Fernández,Fernández,6.0,2.0,4.0,LEG0307,25119641,Martínez,María,1981-11-03,44.0,Agente,2012-12-02,13.0,Activo,,,Pistola,Bersa,ARM-00307,En mantenimiento,Desgaste en cañón,2024-02-24,
308,2024-12-05,Departamental Nº 15 Ojo de Agua,Ojo de Agua,6.0,2.0,7.0,LEG0308,33748887,García,Lucía,1992-04-08,33.0,Agente,2020-05-16,5.0,Activo,,,Pistola,Bersa,ARM-00308,Operativa,,2024-08-23,
309,2025-01-03,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,4.0,1.0,3.0,LEG0309,37914489,Romero,Ana,2004-09-04,21.0,Cabo,2019-02-07,7.0,Activo,3855-XXXXXX,Próximo a retiro,Pistola,Bersa,ARM-00309,En mantenimiento,Desgaste en cañón,2024-09-05,
310,2025-09-02,Departamental Nº 3 Zona Sur (Capital),Capital,7.0,0.0,7.0,LEG0310,37301874,Rodríguez,Luis,1989-02-04,36.0,Oficial Sub-Inspector,2023-09-02,2.0,Activo,,Próximo a retiro,Pistola,Bersa,ARM-00310,Fuera de servicio,,2024-12-29,
311,2025-02-28,Departamental Nº 4 Zona Oeste (La Banda),La Banda,0.0,0.0,8.0,LEG0311,44370764,Díaz,Ana,2001-09-24,24.0,Oficial Inspector,2017-05-15,8.0,Activo,,,Escopeta,Bersa,ARM-00311,En mantenimiento,,2024-07-13,
312,2025-08-01,Departamental Nº 9 Loreto,Loreto,4.0,0.0,7.0,LEG0312,35911898,Díaz,María,1982-03-14,43.0,Sargento Primero,2013-07-28,12.0,Inactivo,,,Pistola,Glock,ARM-00312,En mantenimiento,,2024-11-20,2026-10-02
313,2025-10-11,Departamental Nº 4 Zona Oeste (La Banda),La Banda,4.0,1.0,6.0,LEG0313,21250844,Gómez,Lucía,1992-12-30,32.0,Agente,2022-05-19,3.0,Activo,3855-XXXXXX,,Pistola,Remington,ARM-00313,En mantenimiento,,2025-07-09,
314,2025-09-21,Departamental Nº 12 Quimilí,Quimilí,5.0,1.0,1.0,LEG0314,38444906,Pérez,Juan,1977-03-28,48.0,Agente,2017-04-22,9.0,Activo,3854-XXXXXX,Próximo a retiro,Escopeta,Bersa,ARM-00314,En mantenimiento,,2025-05-16,
315,2025-10-17,Departamental Nº 5 Zona Este (La Banda),La Banda,3.0,1.0,9.0,LEG0315,38127203,García,Lucía,2003-01-11,22.0,Oficial Sub-Inspector,2018-10-09,7.0,Activo,3855-XXXXXX,Próximo a retiro,Fusil,Glock,ARM-00315,Operativa,,2024-12-02,
316,2025-04-14,Departamental Nº 16 Los Flores (Capital),Capital,4.0,1.0,8.0,LEG0316,39453093,Rodríguez,Laura,1995-09-17,30.0,Sargento Primero,2018-09-21,7.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00316,Operativa,Desgaste en cañón,2024-03-27,
317,2024-12-03,Departamental Nº 14 Pinto,Pinto,5.0,1.0,9.0,LEG0317,26847129,Sánchez,María,1965-08-26,60.0,Oficial Sub-Inspector,2014-10-01,11.0,Activo,3854-XXXXXX,,Pistola,Glock,ARM-00317,Operativa,Desgaste en cañón,2024-10-12,
318,2025-08-09,Departamental Nº 3 Zona Sur (Capital),Capital,5.0,0.0,6.0,LEG0318,28447680,Díaz,Lucía,1965-06-06,60.0,Cabo,2015-11-23,10.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Bersa,ARM-00318,Operativa,,2024-08-14,
319,2024-11-28,Departamental Nº 13 Añatuya,Añatuya,6.0,2.0,2.0,LEG0319,23776764,López,Sofía,1975-01-30,50.0,Agente,2021-01-13,5.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Glock,ARM-00319,Fuera de servicio,Desgaste en cañón,2023-11-23,2025-12-15
320,2025-05-13,Departamental Nº 16 Los Flores (Capital),Capital,3.0,1.0,8.0,LEG0320,40286379,Rodríguez,Laura,1967-09-23,58.0,Sargento Primero,2010-04-04,16.0,Activo,,,Pistola,Remington,ARM-00320,Operativa,,2025-01-31,
321,2025-07-11,Departamental Nº 13 Añatuya,Añatuya,2.0,1.0,5.0,LEG0321,42963157,Romero,Pedro,2003-02-07,,Oficial Sub-Inspector,2013-11-06,12.0,Activo,3855-XXXXXX,Próximo a retiro,Pistola,Bersa,ARM-00321,En mantenimiento,Requiere revisión anual,2025-05-10,
322,2025-07-05,Departamental Nº 16 Los Flores (Capital),Capital,3.0,2.0,5.0,LEG0322,34560587,Gómez,Luis,1972-01-26,53.0,Oficial Sub-Inspector,2018-03-22,8.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Glock,ARM-00322,Operativa,,2024-11-19,
323,2025-08-11,Departamental Nº 13 Añatuya,Añatuya,4.0,1.0,8.0,LEG0323,30339460,Martínez,Pedro,1980-09-20,45.0,Oficial Ayudante,2019-05-08,6.0,Activo,,Próximo a retiro,Escopeta,Glock,ARM-00323,Fuera de servicio,,2024-08-30,2026-09-30
324,2024-10-29,Departamental Nº 2 Zona Centro (Capital),Capital,4.0,2.0,7.0,LEG0324,27776604,López,José,1986-09-08,39.0,Agente,2022-03-30,4.0,Activo,,En licencia médica,Pistola,Glock,ARM-00324,En mantenimiento,Requiere revisión anual,2023-11-06,
325,2025-10-16,Departamental Nº 13 Añatuya,Añatuya,7.0,1.0,4.0,LEG0325,26903538,Díaz,Lucía,1972-06-08,53.0,Agente,2019-07-24,6.0,Activo,,Próximo a retiro,Fusil,Remington,ARM-00325,Operativa,,2025-04-30,
326,2025-09-30,Departamental Nº 12 Quimilí,Quimilí,2.0,2.0,9.0,LEG0326,28856832,Pérez,Pedro,1970-07-15,55.0,Cabo Primero,2023-02-06,3.0,Activo,,En licencia médica,Pistola,Glock,ARM-00326,En mantenimiento,,2025-04-07,
327,2025-10-11,Departamental Nº 14 Pinto,Pinto,8.0,1.0,3.0,LEG0327,38088845,Rodríguez,Lucía,1981-12-12,43.0,Oficial Ayudante,2019-11-16,6.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,IWI,ARM-00327,Operativa,,2025-01-30,
328,2025-04-01,Departamental Nº 13 Añatuya,Añatuya,2.0,1.0,6.0,LEG0328,43294536,Fernández,Juan,1990-02-10,35.0,Agente,2018-03-23,8.0,Activo,3855-XXXXXX,,Escopeta,IWI,ARM-00328,En mantenimiento,Desgaste en cañón,2024-06-22,
329,2025-04-04,Departamental Nº 5 Zona Este (La Banda),La Banda,9.0,0.0,5.0,LEG0329,34301576,Martínez,Lucía,1968-09-13,57.0,Sargento Principal,2014-11-10,11.0,Activo,,,Escopeta,Glock,ARM-00329,Operativa,,2024-09-19,
330,2025-10-09,Departamental Nº 6 Las Termas,Las Termas,6.0,1.0,9.0,LEG0330,25512460,Romero,Carlos,1996-01-19,29.0,Sargento Ayudante,2012-06-23,13.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Remington,ARM-00330,En mantenimiento,,2024-11-24,
331,2024-10-25,Departamental Nº 5 Zona Este (La Banda),La Banda,7.0,1.0,4.0,LEG0331,34287713,García,Lucía,1995-11-10,29.0,Oficial Sub-Inspector,2022-06-30,3.0,Activo,3855-XXXXXX,,Pistola,Glock,ARM-00331,Operativa,,2024-05-26,
332,2025-02-14,Departamental Nº 13 Añatuya,Añatuya,6.0,1.0,4.0,LEG0332,34220331,Fernández,Lucía,1976-02-07,49.0,Sargento,2014-05-23,11.0,Activo,3854-XXXXXX,,Escopeta,IWI,ARM-00332,Operativa,,2024-10-19,
333,2025-04-26,Departamental Nº 1 Zona Norte (Capital),Capital,7.0,0.0,6.0,LEG0333,38408786,Rodríguez,Luis,1991-05-10,34.0,Cabo Primero,2018-11-15,7.0,Activo,3854-XXXXXX,En licencia médica,Escopeta,Bersa,ARM-00333,Operativa,Requiere revisión anual,2025-03-05,
334,2024-12-04,Departamental Nº 9 Loreto,Loreto,1.0,1.0,6.0,LEG0334,26369553,Pérez,Luis,1977-01-30,48.0,Agente,2012-12-05,13.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Glock,ARM-00334,En mantenimiento,Desgaste en cañón,2024-09-06,2026-03-01
335,2025-04-09,Departamental Nº 4 Zona Oeste (La Banda),La Banda,3.0,2.0,1.0,LEG0335,43689173,Romero,Juan,2001-05-27,24.0,Agente,2015-03-17,11.0,Activo,,,Escopeta,Glock,ARM-00335,Operativa,,2024-06-19,
336,2025-01-11,Departamental Nº 6 Las Termas,Las Termas,1.0,1.0,5.0,LEG0336,22097711,Romero,Ana,1969-01-24,56.0,Sargento Ayudante,2021-10-31,4.0,Activo,,,Pistola,Glock,ARM-00336,Operativa,Desgaste en cañón,2024-10-09,
337,2024-11-02,Departamental Nº 15 Ojo de Agua,Ojo de Agua,8.0,1.0,3.0,LEG0337,42712753,Gómez,Pedro,1985-12-23,39.0,Agente,2016-09-26,9.0,Activo,,,Escopeta,Bersa,ARM-00337,Operativa,,2024-08-16,
338,2025-04-30,Departamental Nº 5 Zona Este (La Banda),La Banda,4.0,3.0,6.0,LEG0338,42488128,Sánchez,Sofía,1989-08-01,36.0,Oficial Sub-Inspector,2023-03-27,3.0,Activo,3854-XXXXXX,,Escopeta,Bersa,ARM-00338,En mantenimiento,Requiere revisión anual,2025-01-30,2026-10-30
339,2025-10-13,Departamental Nº 14 Pinto,Pinto,3.0,0.0,5.0,LEG0339,20483075,Fernández,Luis,1995-08-14,30.0,Sub-Comisario,2022-12-26,3.0,Activo,3854-XXXXXX,,Pistola,Glock,ARM-00339,Operativa,,2025-05-18,
340,2025-06-30,Departamental Nº 11 Monte Quemado,Monte Quemado,3.0,0.0,5.0,LEG0340,22379897,Pérez,Lucía,1979-03-23,46.0,Agente,2021-08-13,4.0,Inactivo,,,Pistola,Remington,ARM-00340,Operativa,,2024-06-10,
341,2025-06-10,Departamental Nº 13 Añatuya,Añatuya,4.0,1.0,9.0,LEG0341,38674675,López,Luis,1988-04-22,37.0,Agente,2020-03-30,6.0,Activo,3854-XXXXXX,,Escopeta,IWI,ARM-00341,Operativa,,2025-03-12,
342,2025-08-06,Departamental Nº 11 Monte Quemado,Monte Quemado,3.0,2.0,5.0,LEG0342,31836889,García,Juan,1989-02-01,36.0,Cabo,2021-07-20,4.0,Activo,3855-XXXXXX,,Pistola,Remington,ARM-00342,Operativa,,2024-10-27,
343,2025-04-25,Departamental Nº 9 Loreto,Loreto,6.0,0.0,1.0,LEG0343,23959015,Rodríguez,Laura,1973-02-14,52.0,Cabo Primero,2023-06-29,2.0,Activo,3855-XXXXXX,,Escopeta,Glock,ARM-00343,Operativa,,2024-07-10,
344,2025-10-02,Departamental Nº 2 Zona Centro (Capital),Capital,5.0,2.0,9.0,LEG0344,43929820,Romero,Lucía,1972-07-30,53.0,Agente,2021-09-24,4.0,Activo,3855-XXXXXX,,Pistola,IWI,ARM-00344,Operativa,,2025-03-11,
